MinWIO,min_ws,NumItemsets,Time(s),Memory(MB)
0.01,0.001,1634,111.18887448310852,23.26171875
0.01,0.005,1634,103.04916977882385,0.0625
0.01,0.01,1634,88.2409029006958,0.125
0.01,0.05,740,32.498542070388794,0.01171875
0.01,0.1,345,16.972928285598755,0.0
0.01,0.2,72,0.6435897350311279,0.0078125
0.01,0.3,7,0.04625511169433594,0.0
0.02,0.001,1301,109.56745791435242,0.0
0.02,0.005,1301,79.52221250534058,0.18359375
0.02,0.01,1301,75.02844381332397,0.1171875
0.02,0.05,740,29.50389552116394,0.0
0.02,0.1,345,11.596624374389648,0.0
0.02,0.2,72,0.8956832885742188,0.0
0.02,0.3,7,0.029052019119262695,0.0
0.05,0.001,740,66.10036063194275,0.0
0.05,0.005,740,58.05938792228699,0.0
0.05,0.01,740,57.87977409362793,0.0
0.05,0.05,740,32.92047142982483,0.0
0.05,0.1,345,10.388004779815674,0.0
0.05,0.2,72,0.6164262294769287,0.0
0.05,0.3,7,0.017168045043945312,0.0
0.1,0.001,345,38.99960446357727,0.0
0.1,0.005,345,36.296470642089844,0.0
0.1,0.01,345,29.583038330078125,0.0
0.1,0.05,345,14.714291334152222,0.0
0.1,0.1,345,10.152966737747192,0.0
0.1,0.2,72,0.5637800693511963,0.0
0.1,0.3,7,0.021007299423217773,0.0
0.2,0.001,72,22.160067081451416,0.0
0.2,0.005,72,17.985491037368774,0.0
0.2,0.01,72,15.207200050354004,0.0
0.2,0.05,72,4.512354135513306,0.0078125
0.2,0.1,72,2.1349828243255615,0.0
0.2,0.2,72,0.5078461170196533,0.0
0.2,0.3,7,0.013548135757446289,0.0
0.3,0.001,7,16.470505952835083,0.0
0.3,0.005,7,14.32712173461914,0.0
0.3,0.01,7,12.874708414077759,0.0
0.3,0.05,7,4.342286825180054,0.0
0.3,0.1,7,1.4941084384918213,0.0
0.3,0.2,7,0.15466976165771484,0.0
0.3,0.3,7,0.013293981552124023,0.0
0.4,0.001,1,17.731937885284424,0.0
0.4,0.005,1,14.232393741607666,0.015625
0.4,0.01,1,12.825247287750244,0.0
0.4,0.05,1,3.8423595428466797,0.0
0.4,0.1,1,1.3536701202392578,0.0
0.4,0.2,1,0.1549844741821289,0.0
0.4,0.3,1,0.012603998184204102,0.0
0.5,0.001,0,16.58012843132019,0.0
0.5,0.005,0,14.001362562179565,0.0
0.5,0.01,0,12.120741844177246,0.0
0.5,0.05,0,3.847588300704956,0.0
0.5,0.1,0,1.3310942649841309,0.0
0.5,0.2,0,0.22133970260620117,0.0
0.5,0.3,0,0.009993314743041992,0.0
